file;general;race;class;anim;deathvar;dialog;level;gender;sex;allegiance;overrideScript;classScript;raceScript;generalScript;defaultScript;helmet;shield;lring;rring;amulet;weapon1;weapon2;weapon3;weapon4;xpv;origin;name
SHANE;HUMANOID;HUMAN;INNOCENT;PEASANT_MAN;SHANE;;1;MALE;MALE;NEUTRAL;RR#PICKP;WTRUNSGT;None;None;;;;;;;;;;;15;bg1;Shane
SHANK;HUMANOID;HALF_ELF;FIGHTER;THIEF_MALE_ELF;shank;SHANK;1;MALE;MALE;NEUTRAL;INITDLG;None;None;None;dw1melge;;;;;;DAGGSHIT;;;;20;bg1;Shank
SHARA;HUMANOID;HUMAN;MAGE;PEASANT_WOMAN;None;None;1;FEMALE;FEMALE;127;None;None;None;None;None;;;;;;;;;;420;bg1;Shara
SHARTD;HUMANOID;HUMAN;FIGHTER;FIGHTER_FEMALE_HUMAN;None;shartd;3;FEMALE;FEMALE;PC;None;SHARTEEL;None;None;None;;;;;;SW1H04;DAGG01;;;0;bg1;Shar-Teel
SHARTE;HUMANOID;HUMAN;FIGHTER;FIGHTER_FEMALE_HUMAN;sharteel;sharte;2;FEMALE;FEMALE;NEUTRAL;SHARTEEL;None;None;;DPLAYER;HELM01;DAGG01;MONHP1;MIHP1;;SW1H04;;;;0;bg1;Shar-Teel
SHARTE4;HUMANOID;HUMAN;FIGHTER;FIGHTER_FEMALE_HUMAN;sharteel;sharte;4;FEMALE;FEMALE;NEUTRAL;SHARTEEL;None;None;;DPLAYER;HELM01;DAGG01;MONHP1;MIHP1;;SW1H04;;;;0;bg1;Shar-Teel
SHARTE6;HUMANOID;HUMAN;FIGHTER;FIGHTER_FEMALE_HUMAN;sharteel;sharte;6;FEMALE;FEMALE;NEUTRAL;SHARTEEL;None;None;;DPLAYER;HELM01;DAGG01;MONHP1;MIHP1;;SW1H04;;;;0;bg1;Shar-Teel
SHAWOL01;UNDEAD;SHADOW;WOLF_DIRE;WOLF_SHADOW;None;;4;MALE;MALE;ENEMY;None;None;DIREWOLF;None;dw1melge;;;IMMUNE1;RING95;;P1-8;;;;500;bg1;Shade Wolf
SHEARTH;GIANTHUMANOID;ELEMENTAL;ELEMENTAL_EARTH;ELEMENTAL_EARTH;None;;10;NIETHER;MALE;ENEMY;;;;;;;;;;;;;;;6000;bg1;Earth Elemental
SHELLI;HUMANOID;HUMAN;INNOCENT;BOY;None;Shelli;1;MALE;MALE;NEUTRAL;dw#innhl;None;None;None;wdrunsgt;;;;;;;;;;7;bg1;Shelligh
SHELTO;HUMANOID;HUMAN;INNOCENT;FIGHTER_MALE_HUMAN;None;shelto;3;MALE;MALE;NEUTRAL;RR#PICKP;None;None;None;dw1melge;;;;;;SW1H01;;;;120;bg1;Shelton
SHEP;HUMANOID;HUMAN;INNOCENT;PEASANT_MAN;SHEP;SHEP;1;MALE;MALE;NEUTRAL;dw#innhl;INITDLG;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Shep
SHFIRE;GIANTHUMANOID;ELEMENTAL;ELEMENTAL_FIRE;ELEMENTAL_FIRE_SMALL;None;;10;NIETHER;MALE;NEUTRAL;;;;;;;;;;;;;;;6000;bg1;Fire Elemental
SHILOC;HUMANOID;ELF;INNOCENT;FIGHTER_MALE_ELF;None;norale;3;MALE;MALE;NEUTRAL;RR#PICKP;None;None;WDRUNSGT;dw1range;;;;;;BOW01;SW1H04;;;90;bg1;Shilo Chen
SHIRON;GIANTHUMANOID;GOLEM;GOLEM_IRON;GOLEM_IRON;None;;18;NIETHER;MALE;NEUTRAL;;;;;;;;IMMUNE3;IRONGOL;;GOLIRO;;;;13000;bg1;Iron Golem
SHISTA;HUMANOID;HUMAN;INNOCENT;MONK;None;shista;1;MALE;MALE;NEUTRAL;RR#PICKP;None;WTRUNSGT;None;None;;;;;;;;;;15;bg1;Shistal
SHMIND;HUMANOID;MIND_FLAYER;MIND_FLAYER;MINDFLAYER;udmind03;;8;MALE;MALE;NEUTRAL;;;;;;;;;;;MINDFLAY;;;;9000;bg1;Mind Flayer
SHOAL;MONSTER;FAIRY;FAIRY_NEREID;SIRINE;Shoal;shoal;4;FEMALE;FEMALE;NEUTRAL;None;SHOAL;None;None;dw1melmo;;;;;;;;;;5000;bg1;Shoal the Nereid
SHOP01;HUMANOID;HUMAN;INNOCENT;STATIC_FAT_MAN;None;SHOP01;1;MALE;MALE;NEUTRAL;dw#innhl;shop01;None;None;None;;;;;;;;;;15;bg1;Storekeep
SHOP02;HUMANOID;HUMAN;INNOCENT;STATIC_FAT_MAN;None;SHOP02;1;MALE;MALE;NEUTRAL;dw#innhl;None;None;None;None;;;;;;;;;;15;bg1;Storekeep
SHOP03;HUMANOID;HUMAN;INNOCENT;STATIC_FAT_MAN;None;SHOP03;1;MALE;MALE;NEUTRAL;dw#innhl;SHOP03;None;None;None;;;;;;;;;;15;bg1;Storekeep
SHOP04;HUMANOID;HUMAN;INNOCENT;STATIC_FAT_MAN;None;SHOP04;1;MALE;MALE;NEUTRAL;dw#innhl;SHOP04;None;None;None;;;;;;;;;;15;bg1;Storekeep
SHOP05;HUMANOID;HUMAN;INNOCENT;STATIC_FAT_MAN;None;SHOP05;1;MALE;MALE;NEUTRAL;dw#innhl;SHOP05;None;None;None;;;;;;;;;;15;bg1;Storekeep
SHOP06;HUMANOID;HUMAN;INNOCENT;STATIC_FAT_MAN;None;SHOP06;1;MALE;MALE;NEUTRAL;dw#innhl;SHOP06;None;None;None;;;;;;;;;;15;bg1;Storekeep
SHOP07;HUMANOID;HUMAN;INNOCENT;STATIC_FAT_MAN;None;SHOP07;1;MALE;MALE;NEUTRAL;dw#innhl;SHOP07;None;None;None;;;;;;;;;;15;bg1;Storekeep
SHOP08;HUMANOID;HUMAN;INNOCENT;STATIC_FAT_MAN;None;SHOP08;1;MALE;MALE;NEUTRAL;dw#innhl;SHOP08;None;None;None;;;;;;;;;;15;bg1;Storekeep
SHOPKEG;HUMANOID;HUMAN;INNOCENT;PEASANT_MAN;None;shopkeg;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Storekeep
SHOPKN;HUMANOID;HUMAN;INNOCENT;PEASANT_MAN;None;shopkn;1;MALE;MALE;NEUTRAL;dw#innhl;SHOPKN;RUNENEMY;None;WTRUNSGT;;;;;;;;;;15;bg1;Storekeep
SHOPKN2;HUMANOID;HUMAN;INNOCENT;PEASANT_MAN;None;shopkn2;1;MALE;MALE;NEUTRAL;dw#innhl;RUNENEMY;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Storekeep
SHTROLL;MONSTER;TROLL;TROLL;TROLL;troll01;;6;NIETHER;MALE;ENEMY;;;;;;;;;;;;;;;1400;bg1;Troll
SHVERT;HUMANOID;HUMAN;NO_CLASS;SLAVE;None;shvert;0;MALE;MALE;NEUTRAL;dw#gpsht;INITDLG;None;None;WDRUNSGT;;;;;;;;;;7;bg1;Shvertszche
SHWOLF;MONSTER;LYCANTHROPE;WOLFWERE;WEREWOLF_GREATER;GreaterWolf;None;11;MALE;MALE;NEUTRAL;;;;;;;;IMMUNE1;RINGWOLF;;S1-12;;;;8000;bg1;Greater Wolfwere
SIFGHT;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN_LOW;slaver;None;7;MALE;MALE;NEUTRAL;None;;None;None;;HELM01;;;;;SW2H01;;;;20;bg1;Fighter
SIL;MONSTER;FAIRY;MAGE;SIRINE;Sil;sil;6;FEMALE;FEMALE;NEUTRAL;SIL;J#sirin0;SIRSPELL;None;dw1ranmo;;;;;;SIRINE1;COMPB05;;;2000;bg1;Sil
SILENC;HUMANOID;HUMAN;THIEF;THIEF_FEMALE_HUMAN;silenc;silenc;5;FEMALE;FEMALE;NEUTRAL;SILENC;None;None;None;dw1melth;;;;;;DAGG01;;;;420;bg1;Silence
SILKE;HUMANOID;HUMAN;BARD;THIEF_FEMALE_HUMAN;Silke;silke;10;FEMALE;FEMALE;NEUTRAL;dw#silke;RR#PICKP;SILKE;None;dw#mg123;;;;;;STAF02;;;;900;bg1;Silke
SILVGU;HUMANOID;HUMAN;FIGHTER;FIGHTER_MALE_HUMAN;None;silvgu;1;MALE;MALE;NEUTRAL;dw#urbhl;;None;None;dw1melge;;;;;;SW1H04;;;;65;bg1;Guard
SIMAGE1;HUMANOID;HUMAN;MAGE;MAGE_FEMALE_HUMAN;SIMAGE1;None;7;MALE;MALE;NEUTRAL;RR#PICKP;SIMAGE;None;None;;;;;;;;;;;87;bg1;Sheila
SIMDEMON;MONSTER;DEMONIC;TANARI;FIGHTER_MALE_ELF;SIMDEMON;;7;NIETHER;MALE;NEUTRAL;;None;None;None;dw1melge;WINGS01;;REGHP2;RINGDEMN;;SW2H02;;;;500;bg1;Thrall of Azothet
SIMDUEG;HUMANOID;DWARF;FIGHTER;FIGHTER_MALE_DWARF;;;7;MALE;MALE;NEUTRAL;;None;None;None;;;SHLD03;;;;AX1H01;SLNG01;;;520;bg1;Fighter
SIMMEON;HUMANOID;HUMAN;PALADIN;FIGHTER_MALE_HUMAN;SIMMEON;SIMMEON;5;MALE;MALE;NEUTRAL;RR#PICKP;None;None;None;SIMMEON;;SHLD15;;;;;;SW1H34;;1000;bg1;Simmeon
SIPRST;HUMANOID;HUMAN;CLERIC;CLERIC_MALE_HUMAN;SIPRST;;5;MALE;MALE;NEUTRAL;RR#PICKP;SIPRST;None;None;;;;;;;STAF01;;;;2000;bg1;Priest
SIRINE;MONSTER;FAIRY;MAGE;SIRINE;Sirine;;5;FEMALE;FEMALE;NEUTRAL;dw#gpsht;J#sirin1;SIRSPELL;None;dw1ranmo;;;;;;COMPB05;SIRINE1;;;2000;bg1;Sirine
SIRINE02;MONSTER;FAIRY;MAGE;SIRINE;Sirine;;5;FEMALE;FEMALE;NEUTRAL;dw#gpsht;J#sirin1;SIRSPELL;None;dw1ranmo;;;;;;COMPB05;SIRINE1;;;2000;bg1;Sirine
SIRINE_A;MONSTER;FAIRY;MAGE;SIRINE;Sirine;;4;FEMALE;FEMALE;ENEMY;dw#gpsht;J#sirin1;SIRSPELL;None;dw1ranmo;;;;;;COMPB05;SIRINE1;;;2000;bg1;Sirine
SIRINE_B;MONSTER;FAIRY;MAGE;SIRINE;Sirine;;5;FEMALE;FEMALE;ENEMY;dw#gpsht;J#sirin1;SIRSPELL;None;dw1ranmo;;;;;;COMPB05;SIRINE1;;;2000;bg1;Sirine
SIRLOT;HUMANOID;HUMAN;INNOCENT;NOBLE_MAN;Lothtyran;sirlot;1;MALE;MALE;NEUTRAL;dw#innhl;INITDLG;None;None;WTRUNSGT;;;;;;;;;;15;bg1;Sir Lothtyran
SJMUGG;HUMANOID;HUMAN;FIGHTER_THIEF;THIEF_MALE_HUMAN;SJMUGG;;6;MALE;MALE;NEUTRAL;;None;None;None;;;;;;;XBOW04;SW1H07;;;1000;bg1;Archer
SJMUGG2;HUMANOID;HUMAN;FIGHTER_THIEF;THIEF_MALE_HUMAN;SJMUGG2;;6;MALE;MALE;NEUTRAL;;None;None;None;;;;;;;XBOW04;SW1H07;;;1000;bg1;Archer
SJMUGG3;HUMANOID;HUMAN;FIGHTER_THIEF;THIEF_MALE_HUMAN;SJMUGG3;;6;MALE;MALE;NEUTRAL;;None;None;None;;;;;;;XBOW04;SW1H07;;;1000;bg1;Archer
SKELACI;UNDEAD;SKELETON;SKELETON;SKELETON;None;None;1;NIETHER;MALE;ENEMY;None;None;None;None;dw1ranmo;;;RING99;;;BOW01;HALB01;;;120;bg1;Skeleton
SKELDED;UNDEAD;SKELETON;SKELETON_WARRIOR;SKELETON;skelded;None;7;NIETHER;MALE;NEUTRAL;None;None;None;None;None;;;RING99;;;;;;;0;bg1;
SKELDIS;UNDEAD;SKELETON;SKELETON;SKELETON;None;None;1;NIETHER;MALE;ENEMY;None;None;None;None;dw1ranmo;;;RING99;;;BOW01;HALB01;;;65;bg1;Skeleton
SKELE2;UNDEAD;SKELETON;SKELETON;SKELETON;None;None;1;NIETHER;MALE;ALLY;None;None;None;None;dw1melmo;;;RING99;;;B1-6;;;;0;bg1;Skeleton
SKELET;UNDEAD;SKELETON;SKELETON;SKELETON;None;None;1;NIETHER;158;ENEMY;dw#gpshm;None;None;None;dw1melmo;;;RING99;;;B1-6;;;;0;bg1;Skeleton
SKELET02;UNDEAD;SKELETON;SKELETON;SKELETON;None;;1;NIETHER;MALE;ENEMY;None;None;None;None;dw1ranmo;;;;RING99;;BOW05;SPER01;;;65;bg1;Skeleton
SKELET03;UNDEAD;SKELETON;SKELETON;SKELETON;None;;1;NIETHER;MALE;ENEMY;dw#gpshm;None;None;None;dw1melmo;;SHLD01;RING99;;;SW1H04;;;;65;bg1;Skeleton
SKELETB;UNDEAD;SKELETON;SKELETON;SKELETON;skeletonb;;1;NIETHER;MALE;NEUTRAL;dw#gpsht;None;SKELETB;None;dw1ranmo;;;RING99;;;XBOW01;SW2H01;;;65;bg1;Skeleton
SKELETS;UNDEAD;SKELETON;SKELETON;SKELETON;None;None;1;NIETHER;MALE;ENEMY;dw#gpshm;None;None;None;dw1ranmo;;SHLD13;RING99;;;DAGG05;DAGG05;SW1H07;;65;bg1;Skeleton
SKELET_A;UNDEAD;SKELETON;SKELETON;SKELETON;None;None;1;NIETHER;MALE;ENEMY;dw#gpshm;None;None;None;dw1melmo;;SHLD10;RING99;;;HAMM01;;;;65;bg1;Skeleton
SKELET_B;UNDEAD;SKELETON;SKELETON;SKELETON;None;None;1;NIETHER;MALE;ENEMY;dw#gpshm;None;None;None;dw1ranmo;;SHLD08;RING99;;;DART01;BLUN06;;;65;bg1;Skeleton
SKELET_C;UNDEAD;SKELETON;SKELETON;SKELETON;None;None;1;NIETHER;MALE;ENEMY;dw#gpshm;None;None;None;dw1ranmo;;;RING99;;;BOW01;HALB01;;;65;bg1;Skeleton
SKELFIRE;UNDEAD;SKELETON;SKELETON;SKELETON;None;None;1;NIETHER;MALE;ENEMY;None;None;None;None;dw1ranmo;;;RING99;;;BOW01;HALB01;;;95;bg1;Skeleton
SKELICE;UNDEAD;SKELETON;SKELETON;SKELETON;None;None;1;NIETHER;MALE;ENEMY;None;None;None;None;dw1ranmo;;;RING99;;;BOW01;HALB01;;;120;bg1;Skeleton
SKELMEL;UNDEAD;SKELETON;SKELETON;SKELETON;None;None;1;NIETHER;MALE;ENEMY;None;None;None;None;dw1ranmo;;SHLD13;RING99;;;DAGG05;DAGG01;;;65;bg1;Skeleton
SKELPETR;UNDEAD;SKELETON;SKELETON;SKELETON;None;None;1;NIETHER;MALE;NEUTRAL;None;None;None;None;None;;;RING99;;;B1-6;;;;0;bg1;Skeleton
SKELSU01;UNDEAD;HUMAN;ETTERCAP;SKELETON;None;;3;SUMMONED;SUMMONED;CONTROLLED;None;None;None;None;BDSUM00;;;RING95;;;SW1H04;;;;0;bg1;Skeleton Warrior
SKELSU07;UNDEAD;HUMAN;ETTERCAP;SKELETON;None;;5;SUMMONED;SUMMONED;CONTROLLED;None;None;None;None;BDSUM00;HELMSKWA;;RING95;;;SW1H05;;;;0;bg1;Skeleton Warrior
SKELSU11;UNDEAD;HUMAN;ETTERCAP;SKELETON_MONSTER;None;;7;SUMMONED;SUMMONED;CONTROLLED;None;None;None;None;BDSUM00;HELMSKWA;;RING95;;;SW1H02;;;;0;bg1;Skeleton Warrior
SKELWA;UNDEAD;SKELETON;SKELETON_WARRIOR;SKELETON;None;;9;NIETHER;MALE;ENEMY;dw#gpshm;None;None;None;dw1melge;HELM08;;RING99;;;SW2H02;;;;4000;bg1;Skeleton Warrior
SKELWA02;UNDEAD;SKELETON;SKELETON_WARRIOR;SKELETON;None;;9;NIETHER;MALE;ENEMY;dw#gpshm;None;None;None;dw1melge;HELM08;;RING99;;;SW2H02;;;;4000;bg1;Skeleton Warrior
SKELWA03;UNDEAD;SKELETON;SKELETON_WARRIOR;SKELETON;None;;13;NIETHER;MALE;ENEMY;dw#gpshm;None;None;None;dw1range;HELM08;;RING99;;;BOW01;SW2H01;;;4000;bg1;Skeleton Warrior
SKELWASU;UNDEAD;SKELETON;SKELETON_WARRIOR;SKELETON_WARRIOR;None;;9;SUMMONED;MALE;ALLY;None;None;None;None;DVMELEE;HELMSKWA;;UNDTYPE;IMMUNE1;;SKELWASU;;;;0;bg1;Skeleton Warrior
SKIE;HUMANOID;HUMAN;THIEF;THIEF_FEMALE_HUMAN;SKIE;skie;4;FEMALE;FEMALE;NEUTRAL;skie;None;;WTARSGT;DPLAYER;;;;;;BOW05;;;;0;bg1;Skie
SKIE6;HUMANOID;HUMAN;THIEF;THIEF_FEMALE_HUMAN;SKIE;skie;6;FEMALE;FEMALE;NEUTRAL;skie;None;;WTARSGT;DPLAYER;;;;;;BOW05;SW1H07;;;0;bg1;Skie
SLAVE;HUMANOID;HUMAN;INNOCENT;SLAVE;cmslave;slave;0;MALE;MALE;NEUTRAL;SLAVE;RUNENEMY;None;None;dw1melge;;;;;;;;;;7;bg1;Slave
SLAVE2;HUMANOID;HUMAN;INNOCENT;SLAVE;None;slave2;0;MALE;MALE;NEUTRAL;SLAVE;RUNENEMY;None;None;dw1melge;;;;;;;;;;7;bg1;Slave
SLAVE3;HUMANOID;HUMAN;INNOCENT;SLAVE;None;slave3;0;MALE;MALE;NEUTRAL;SLAVE;RUNENEMY;None;None;dw1melge;;;;;;;;;;7;bg1;Slave
SLAVE4;HUMANOID;HUMAN;INNOCENT;SLAVE;None;slave4;0;MALE;MALE;NEUTRAL;SLAVE;RUNENEMY;None;None;dw1melge;;;;;;;;;;7;bg1;Slave
SLAVE5;HUMANOID;HUMAN;INNOCENT;SLAVE;None;slave5;0;MALE;MALE;NEUTRAL;SLAVE;RUNENEMY;None;None;dw1melge;;;;;;;;;;7;bg1;Slave
SLAVE6;HUMANOID;HUMAN;INNOCENT;SLAVE;None;slave6;0;MALE;MALE;NEUTRAL;SLAVE;RUNENEMY;None;None;dw1melge;;;;;;;;;;7;bg1;Slave
SLAVFREE;HUMANOID;HUMAN;INNOCENT;SLAVE;slavfree;slavfree;1;MALE;MALE;NEUTRAL;RR#PICKP;INITDLG;RUNENEMY;None;wtrunsgt;;;;;;;;;;2;bg1;Slave
SLAVLEAD;HUMANOID;HUMAN;INNOCENT;SLAVE;SLAVLEAD;slavlead;1;MALE;MALE;NEUTRAL;RR#PICKP;INITDLG;RUNENEMY;None;wtrunsgt;;;;;;;;;;2;bg1;Rill
SLAVTELL;HUMANOID;HUMAN;INNOCENT;SLAVE;None;slavtell;1;MALE;MALE;NEUTRAL;INITDLG;SLAVE;None;None;wtrunsgt;;;;;;;;;;2;bg1;Slave
SLAYSH01;MONSTER;DEMONIC;SPECTRE;SLAYER;slaysh01;None;11;12;MALE;ENEMY;None;None;None;None;SMARTCRE;;;IMMUNE2;RING95;RINGDEMN;SLAYSH01;;;;12500;bg1;Slayer Shadow
SLEEPDW;HUMANOID;DWARF;INNOCENT;SLEEPING_DWARF;None;None;1;MALE;MALE;NEUTRAL;dw#innhl;None;None;None;None;;;;;;;;;;0;bg1;Sleeping Dwarf
SLEEPEL;HUMANOID;ELF;INNOCENT;SLEEPING_MAN_ELF;None;None;1;MALE;MALE;NEUTRAL;dw#innhl;None;None;None;None;;;;;;;;;;0;bg1;Sleeping Elf
SLEEPFAT;HUMANOID;HUMAN;INNOCENT;SLEEPING_FAT_MAN_HUMAN;None;None;1;MALE;MALE;NEUTRAL;dw#innhl;None;None;None;None;;;;;;;;;;0;bg1;Sleeping Man
SLEEPFH;HUMANOID;HUMAN;INNOCENT;SLEEPING_WOMAN_HUMAN;SLEEPFH;None;1;FEMALE;FEMALE;NEUTRAL;dw#innhl;None;None;None;None;;;;;;;;;;0;bg1;Sleeping Woman
SLEEPHAL;HUMANOID;HALFLING;INNOCENT;SLEEPING_MAN_HALFLING;None;None;1;MALE;MALE;NEUTRAL;dw#innhl;None;None;None;None;;;;;;;;;;0;bg1;Sleeping Halfling
SLEEPMH;HUMANOID;HUMAN;INNOCENT;SLEEPING_MAN_HUMAN;SLEEPMH;None;1;MALE;MALE;NEUTRAL;dw#innhl;None;None;None;None;;;;;;;;;;0;bg1;Sleeping Man
SLYTHE;HUMANOID;HUMAN;FIGHTER_THIEF;THIEF_MALE_HUMAN;Slythe;slythe;9;MALE;MALE;NEUTRAL;dw#gpsht;RR#PICKP;dw#shdlg;None;dw1melas;;SHLD08;;;;SW1H10;;;;5000;bg1;Slythe
SMITH;HUMANOID;HUMAN;INNOCENT;FAT_MAN;None;smith;1;MALE;MALE;NEUTRAL;dw#innhl;WTRUNSGT;None;None;None;;;;;;;;;;15;bg1;Smith
SMOUNDSU;GIANTHUMANOID;ELEMENTAL;ELEMENTAL_EARTH;SHAMBLING_MOUND;Smound;;16;SUMMONED;0;ALLY;DVSMOUND;None;None;None;;;;;ELEMTYPE;;SMOUNDSU;;;;0;bg1;Shambling Mound
SMSPID02;MONSTER;SPIDER;SPIDER_PHASE;SPIDER_PHASE;smspid02;;5;NIETHER;MALE;ENEMY;spidvo01;None;None;None;dw1melmo;;;;;ANTIWEB;SPIDVO01;;;;2700;bg1;Vortex Spider
SMUGGL;HUMANOID;HUMAN;THIEF;THIEF_MALE_HUMAN;Smuggler;SMUGGL;4;MALE;MALE;NEUTRAL;INITDLG;None;None;None;dw1melth;;;;;;SW1H01;;;;60;bg1;Smuggler
SOLIA1;MONSTER;LYCANTHROPE;INNOCENT;GIRL;SOLIA1;SOLIA1;1;FEMALE;FEMALE;NEUTRAL;RR#PICKP;WEREWOLF;None;None;WDRUNSGT;;;IMMUNE1;;;;;;;7;bg1;Solianna
SOLIA2;MONSTER;LYCANTHROPE;INNOCENT;GIRL;SOLIA2;SOLIA2;1;FEMALE;FEMALE;NEUTRAL;RR#PICKP;WEREWOLF;None;None;WDRUNSGT;;;IMMUNE1;;;;;;;7;bg1;Solianna
SONNER;HUMANOID;HUMAN;NO_CLASS;PEASANT_MAN;Sonner;sonner;0;MALE;MALE;NEUTRAL;FISHER;;None;None;wtrunsgt;;;;;;;;;;35;bg1;Sonner
SORCED;HUMANOID;HUMAN;MAGE;PEASANT_MAN;None;sonner;0;MALE;MALE;NEUTRAL;RR#PICKP;None;None;None;wtrunsgt;;;;;;SPER01;;;;35;bg1;Sonner
SORREL;HUMANOID;HUMAN;FLAMING_FIST;CLERIC_MALE_HUMAN;sorrel;sorrel;1;MALE;MALE;NEUTRAL;dw#urbhl;INITDLG;SEEENEMY;None;dw1melge;HELM09;SHLD01;;;;SW1H04;;;;420;bg1;Sorrel
SPBEAR1;ANIMAL;BEAR;BEAR_POLAR;BEAR_POLAR;None;;1;SUMMONED;SUMMONED;CONTROLLED;SPIRDTH;None;None;None;BDSUM00;;;SPRNGB01;;;SPBATT1;;;;0;bg1;Spirit Bear
SPBEAR2;ANIMAL;BEAR;BEAR_POLAR;BEAR_POLAR;None;;3;SUMMONED;SUMMONED;CONTROLLED;SPIRDTH;None;None;None;BDSUM00;;;SPRNGB02;;;SPBATT2;;;;0;bg1;Spirit Bear
SPBEAR3;ANIMAL;BEAR;BEAR_POLAR;BEAR_POLAR;None;;5;SUMMONED;SUMMONED;CONTROLLED;SPIRDTH;None;None;None;BDSUM00;;;SPRNGB03;;;SPBATT3;;;;0;bg1;Spirit Bear
SPBEAR4;ANIMAL;BEAR;BEAR_POLAR;BEAR_POLAR;None;;7;SUMMONED;SUMMONED;CONTROLLED;SPIRDTH;None;None;None;BDSUM00;;;SPRNGB04;;;SPBATT4;;;;0;bg1;Spirit Bear
SPBEAR5;ANIMAL;BEAR;BEAR_POLAR;BEAR_POLAR;None;;10;SUMMONED;SUMMONED;CONTROLLED;SPIRDTH;None;None;None;BDSUM00;;;SPRNGZ05;IMMUNE1;;SPBATT5;;;;0;bg1;Spirit Bear
SPENGIL;HUMANOID;HUMAN;INNOCENT;PEASANT_MAN;None;SPENGIL;1;MALE;MALE;NEUTRAL;dw#innhl;None;RUNENEMY;None;WTRUNSGT;;;;;;;;;;15;bg1;Spen Gil'meh
SPIDFGSU;MONSTER;SPIDER;SPIDER_HUGE;SPIDER_HUGE;spidfgsu;;2;SUMMONED;SUMMONED;CONTROLLED;spidfgsu;None;None;None;BDSUM00;;;;FIGRING2;ANTIWEB;FIGSPID;;;;0;bg1;Kitthix
SPIDGI;MONSTER;SPIDER;SPIDER_GIANT;SPIDER_GIANT;None;;4;NIETHER;MALE;ENEMY;dw#gpshm;None;;None;dw#spidg;;;;;ANTIWEB;SPIDGI1;;;;450;bg1;Giant Spider
SPIDGISU;MONSTER;SPIDER;SPIDER_GIANT;SPIDER_GIANT;None;;4;SUMMONED;MALE;ALLY;None;None;;None;DVMELEE;;;;;VERMTYPE;SPIDGISU;;;;300;bg1;Giant Spider
SPIDHU;MONSTER;SPIDER;SPIDER_HUGE;SPIDER_HUGE;None;;2;NIETHER;MALE;ENEMY;dw#gpshm;None;None;None;dw#spids;;;;;ANTIWEB;SPIDHU1;;;;270;bg1;Huge Spider
SPIDLAND;MONSTER;SPIDER;SPIDER_HUGE;SPIDER_HUGE;None;;2;NIETHER;MALE;ENEMY;dw#gpshm;None;None;None;dw#spids;;;;;ANTIWEB;SPIDHU1;;;;270;bg1;Huge Spider
SPIDPH;MONSTER;SPIDER;SPIDER_PHASE;SPIDER_PHASE;None;;5;NIETHER;MALE;ENEMY;dw#gpshm;PSPIDER;None;None;;;;;;ANTIWEB;SPIDPH1;;;;1400;bg1;Phase Spider
SPIDPHAS;MONSTER;SPIDER;SPIDER_PHASE;SPIDER_PHASE;None;;5;NIETHER;158;ENEMY;dw#gpshm;PSPIDER;None;None;;;;;;ANTIWEB;SPIDPH1;;;;4000;bg1;Astral Phase Spider
SPIDPHSU;MONSTER;SPIDER;SPIDER_PHASE;SPIDER_PHASE;None;;5;SUMMONED;MALE;ALLY;;None;None;None;DVMELEE;;;;;VERMTYPE;SPIDPHSU;;;;0;bg1;Phase Spider
SPIDSM01;MONSTER;SPIDER;NO_CLASS;SPIDER_SMALL;SPIDSM01;;1;MALE;MALE;ENEMY;;BDENSHTV;;;BDNONIN;;;;;ANTIWEB;SPIDHU1;;;;65;bg1;Small Spider
SPIDSW;MONSTER;SPIDER;SPIDER_SWORD;SPIDER_SWORD;None;;5;NIETHER;MALE;ENEMY;dw#gpshm;None;None;None;dw#spids;;;;;ANTIWEB;SPIDSW1;;;;2000;bg1;Sword Spider
SPIDSW01;MONSTER;SPIDER;SPIDER_SWORD;SPIDER_SWORD;None;;5;NIETHER;MALE;ENEMY;None;None;None;None;dw1melmo;;;;;ANTIWEB;SPIDSW1;;;;2000;bg1;Sword Spider
SPIDSWSU;MONSTER;SPIDER;SPIDER_SWORD;SPIDER_SWORD;None;;5;SUMMONED;MALE;ALLY;None;None;None;None;DVMELEE;;;;VERMTYPE;;SPIDSWSU;;;;0;bg1;Sword Spider
SPIDWR;MONSTER;SPIDER;SPIDER_WRAITH;SPIDER_WRAITH;None;;3;NIETHER;MALE;ENEMY;dw#gpshm;None;None;None;dw#spidg;;;IMMUNE1;RING95;ANTIWEB;SPIDWR1;;;;1400;bg1;Wraith Spider
SPIRBEAR;ANIMAL;BEAR;BEAR_POLAR;BEAR_POLAR;None;;10;SUMMONED;MALE;CONTROLLED;None;None;None;None;BDSUM00;;;IMMUNE1;RING95;;BEARSPIR;;;;0;bg1;Spirit Bear
SPIRLION;ANIMAL;NO_RACE;NO_CLASS;GREATCAT_LEOPARD;None;;13;SUMMONED;MALE;CONTROLLED;None;None;None;None;BDSUM00;;;IMMUNE1;RING95;;LIONSPIR;;;;0;bg1;Spirit Lion
